filepath,tags
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230414-RedSeaStars_ROW7002802337_UHD.jpg,"20230414,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,redseastars,row7002802337,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230415-NahargarhFort_ROW1740335378_UHD.jpg,"20230415,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,nahargarhfort,row1740335378,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230416-KiteDay_ROW1884773634_UHD.jpg,"20230416,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,kiteday,row1884773634,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230417-MinouLighthouse_ROW1985559141_UHD.jpg,"20230417,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,minoulighthouse,row1985559141,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230418-MPPUnesco_ROW6815268249_UHD.jpg,"20230418,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,mppunesco,row6815268249,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230419-TaiwanYuhina_ROW4532910071_UHD.jpg,"20230419,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row4532910071,taiwanyuhina,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230420-AnjunaBeachGoa_ROW7649308994_UHD.jpg,"20230420,anjunabeachgoa,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,row7649308994,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230421-ProcidaItaly_ROW3953522775_UHD.jpg,"20230421,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,procidaitaly,row3953522775,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230422-EarthDayFox_ROW4082550699_UHD.jpg,"20230422,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,earthdayfox,row4082550699,uhd"
C:/Users/LENOVO L14/Documents/obsidian_vault/7-Projects/projects/Image-Tagging-Collection-Management-System/photos/Downloaded via net/BingWallpaper/20230423-Honnavaralavenderfields_ROW4280437566_UHD.jpg,"20230423,bingwallpaper,downloaded via net,downloaded via net/bingwallpaper,honnavaralavenderfields,row4280437566,uhd"
